Entrez_ID,Name,MCF7_OH_1,MCF7_OH_2,MCF7_OH_3,MCF7_TAMR_1,MCF7_TAMR_2,MCF7_TAMR_3
254958,REXO1L1P,36,69,14,63,88,26
254973,OR1L4,0,0,0,0,0,0
255022,CALHM1,4,6,4,0,1,1
255025,LINC00879,0,0,0,0,0,0
255027,MPV17L,9,9,6,7,12,5
255031,LINC00957,28,20,48,15,30,25
255043,TMEM86B,34,26,14,24,25,34
255057,C19orf26,11,12,11,5,19,11
255061,TAC4,0,0,0,0,0,0
255082,CASC2,4,6,7,6,6,3
255101,CCDC108,0,0,0,0,0,0
255104,TMCO4,299,227,284,155,235,178
255119,C4orf22,0,0,0,0,0,0
255130,IGFBP7-AS1,0,0,1,0,0,0
255167,LINC01018,2,2,2,1,0,2
255189,PLA2G4F,166,111,145,46,58,61
255193,CSNK1G2-AS1,0,0,1,1,1,0
255220,TXNDC8,0,0,0,0,0,0
255231,MCOLN2,37,21,29,23,21,20
255239,ANKK1,2,1,2,0,4,1
255252,LRRC57,150,94,130,87,113,80
255275,MYADML2,1,2,1,1,0,1
255313,CT47A11,0,0,0,0,1,0
255324,EPGN,41,24,24,32,42,34
255330,NUP210P1,0,0,0,0,0,0
255349,TMEM211,0,0,0,0,0,0
255374,MBLAC1,45,30,53,20,27,39
255394,TCP11L2,7,8,10,31,30,44
255403,ZNF718,30,26,26,24,36,32
255411,LINC00935,0,0,0,1,0,0
255426,RASGEF1C,6,3,7,6,2,6
255480,TBX5-AS1,0,0,0,0,0,0
255488,RNF144B,60,29,58,175,216,203
255512,TOLLIP-AS1,26,13,21,20,34,30
255520,ELMOD2,44,36,32,60,70,60
255626,HIST1H2BA,0,0,0,0,0,0
255631,COL24A1,0,2,0,0,0,0
255654,RP11-690C23.2,0,0,0,1,0,0
255725,OR52B2,0,0,0,0,0,0
255738,PCSK9,0,0,0,0,0,0
255743,NPNT,744,551,500,822,971,812
255758,TCTEX1D2,199,132,115,152,189,181
255762,PDZD9,2,2,2,0,2,0
255783,PRR24,304,204,384,81,156,147
255798,C3orf43,3,1,0,0,3,0
255809,C19orf38,4,4,5,5,6,5
255812,SDHAP1,1089,722,792,840,1041,1069
255877,BCL6B,0,0,0,0,0,0
255919,CNEP1R1,57,41,34,64,56,75
255926,ADAM5,0,0,0,0,0,0
255928,SYT14,0,0,0,0,0,0
255967,PAN3,188,185,135,131,111,117
256006,ANKRD31,0,0,0,1,2,1
256021,C12orf79,0,0,0,0,1,0
256051,ZNF549,57,43,63,25,58,51
256076,COL6A5,0,0,0,0,0,0
256126,SYCE2,20,13,15,12,19,21
256130,TMEM196,0,0,0,0,0,0
256144,OR4C3,0,0,0,0,0,0
256148,OR4S1,0,0,0,0,0,0
256223,CDRT15L2,0,0,0,0,1,0
256227,STEAP1B,0,0,0,0,0,0
256236,NAPSB,0,0,0,0,0,0
256281,NUDT14,513,294,608,196,241,270
256297,PTF1A,0,0,0,0,0,0
256302,C17orf103,32,17,39,40,74,56
256309,CCDC110,4,5,3,0,0,0
256329,C11orf35,39,37,35,19,43,20
256355,RPS2P32,12,5,11,7,7,12
256356,GK5,169,127,103,197,268,210
256364,EML3,1321,1041,1317,604,989,991
256369,LINC00521,0,0,0,0,0,0
256380,SCML4,1,0,0,0,3,1
256394,SERPINA11,4,0,2,4,6,4
256435,ST6GALNAC3,0,0,0,0,0,0
256471,MFSD8,68,45,45,66,65,67
256472,TMEM151A,0,2,1,2,3,2
256536,TCERG1L,0,0,0,0,0,0
256586,LYSMD2,190,120,149,130,165,181
256643,CXorf23,21,23,18,26,25,31
256646,NUTM1,0,0,0,0,1,0
256691,MAMDC2,0,1,0,1,4,1
256710,GLIPR1L1,0,0,0,0,0,0
256714,MAP7D2,0,0,1,1,1,0
256764,WDR72,3,5,0,0,0,0
256815,C10orf67,0,0,1,0,0,0
256880,LOC256880,5,6,5,5,4,11
256892,OR51F1,0,0,0,0,0,0
256933,NPB,41,25,31,27,38,23
256949,KANK3,10,4,6,8,17,16
256957,C17orf66,0,0,0,0,1,0
256979,SUN3,0,1,0,0,0,0
256987,SERINC5,428,299,301,484,448,491
257000,TINCR,530,361,578,460,628,711
257019,FRMD3,56,19,23,125,83,116
257044,C1orf101,1,1,0,1,0,3
257062,CATSPERD,0,0,0,0,0,0
257068,PLCXD2,0,0,1,1,0,0
257101,ZNF683,0,0,0,0,0,0
257106,ARHGAP30,12,14,17,9,24,12
257144,GCSAM,5,9,1,10,15,8
257160,RNF214,269,168,230,170,225,247
257169,C9orf43,15,3,6,10,10,7
257177,C1orf192,20,12,12,25,35,33
257194,NEGR1,0,0,0,0,0,0
257202,GPX6,0,0,0,0,0,0
257203,DSCR9,11,5,14,6,6,6
257218,SHPRH,15,26,3,31,37,36
