"","BCAS1","HERC1","VTN","AREG","CISH","GRB14","RAP2C","INSIG2","FRAS1","SYNPO2L","MGAT5B","TMC7","MT1X","SESTD1","MT1M","RBPMS.AS1","LINC00052","LOO_ELPD","Sensitivity","Specificity","Accuracy","TP","TN","FP","FN","Current_ELPD","Acceptance"
"9103",9,11,6,3,2,8,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.5096379060834,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9104",2,11,3,6,12,9,7,8,5,NA,NA,NA,NA,NA,NA,NA,NA,-73.3067316373987,0.6875,0.738738738738739,0.732283464566929,11,82,29,5,-71.4184660659916,NA
"9105",2,11,3,6,12,9,7,8,10,NA,NA,NA,NA,NA,NA,NA,NA,-72.690340988258,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9106",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1663198492691,0.578947368421053,0.731481481481482,0.708661417322835,11,79,29,8,-71.4184660659916,NA
"9107",7,8,6,2,3,12,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.2492236738873,0.642857142857143,0.725663716814159,0.716535433070866,9,82,31,5,-71.4184660659916,NA
"9108",9,6,11,12,3,8,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.5030524573545,0.6,0.723214285714286,0.708661417322835,9,81,31,6,-71.4184660659916,NA
"9109",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1495008050684,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
"9110",2,9,3,7,6,12,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.1421135633915,0.625,0.72972972972973,0.716535433070866,10,81,30,6,-71.4184660659916,NA
"9111",2,11,3,6,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.535591888393,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9112",9,2,11,6,8,7,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.651295641113,0.533333333333333,0.714285714285714,0.692913385826772,8,80,32,7,-71.4184660659916,NA
"9113",7,9,2,11,8,3,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2111929630267,0.625,0.72972972972973,0.716535433070866,10,81,30,6,-71.4184660659916,NA
"9114",2,11,3,6,12,9,7,8,10,NA,NA,NA,NA,NA,NA,NA,NA,-72.7022463986709,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9115",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1440362834978,0.55,0.728971962616822,0.700787401574803,11,78,29,9,-71.4184660659916,NA
"9116",2,11,3,6,12,9,7,8,5,NA,NA,NA,NA,NA,NA,NA,NA,-73.2252593772894,0.733333333333333,0.741071428571429,0.740157480314961,11,83,29,4,-71.4184660659916,NA
"9117",3,12,8,2,11,7,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.4663391830211,0.625,0.72972972972973,0.716535433070866,10,81,30,6,-71.4184660659916,NA
"9118",6,12,2,11,8,9,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3284220395074,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
"9119",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.4323908999278,0.642857142857143,0.725663716814159,0.716535433070866,9,82,31,5,-71.4184660659916,NA
"9120",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0986345553695,0.55,0.728971962616822,0.700787401574803,11,78,29,9,-71.4184660659916,NA
"9121",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3944217780205,0.625,0.72972972972973,0.716535433070866,10,81,30,6,-71.4184660659916,NA
"9122",12,2,7,9,11,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.6516348961221,0.666666666666667,0.743119266055046,0.732283464566929,12,81,28,6,-71.4184660659916,NA
"9123",7,8,12,2,11,9,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.7631693998218,0.666666666666667,0.732142857142857,0.724409448818898,10,82,30,5,-71.4184660659916,NA
"9124",2,11,3,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.8440900928851,0.611111111111111,0.73394495412844,0.716535433070866,11,80,29,7,-71.4184660659916,NA
"9125",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3749536113696,0.642857142857143,0.725663716814159,0.716535433070866,9,82,31,5,-71.4184660659916,NA
"9126",2,11,3,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.8570904320873,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9127",2,3,8,7,6,11,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3230556207995,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9128",7,8,2,6,11,12,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.2349826284477,0.5,0.711711711711712,0.68503937007874,8,79,32,8,-71.4184660659916,NA
"9129",3,8,6,9,7,2,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.0320256807099,0.6,0.723214285714286,0.708661417322835,9,81,31,6,-71.4184660659916,NA
"9130",7,8,9,3,2,6,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.1625472093712,0.571428571428571,0.716814159292035,0.700787401574803,8,81,32,6,-71.4184660659916,NA
"9131",2,11,3,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.9969568171025,0.611111111111111,0.73394495412844,0.716535433070866,11,80,29,7,-71.4184660659916,NA
"9132",2,11,3,6,12,9,7,8,13,NA,NA,NA,NA,NA,NA,NA,NA,-74.4624323387009,0.533333333333333,0.714285714285714,0.692913385826772,8,80,32,7,-71.4184660659916,NA
"9133",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.2725667472438,0.529411764705882,0.718181818181818,0.692913385826772,9,79,31,8,-71.4184660659916,NA
"9134",9,12,3,11,7,8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.4296025803579,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9135",7,6,3,12,11,9,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.6900477971499,0.7,0.717948717948718,0.716535433070866,7,84,33,3,-71.4184660659916,NA
"9136",7,2,9,3,11,12,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.4374964104144,0.526315789473684,0.722222222222222,0.692913385826772,10,78,30,9,-71.4184660659916,NA
"9137",2,11,3,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.8862661208362,0.611111111111111,0.73394495412844,0.716535433070866,11,80,29,7,-71.4184660659916,NA
"9138",3,2,9,7,12,8,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.9377047388374,0.6,0.738317757009346,0.716535433070866,12,79,28,8,-71.4184660659916,NA
"9139",2,11,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.4922984384319,0.473684210526316,0.712962962962963,0.677165354330709,9,77,31,10,-71.4184660659916,NA
"9140",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.2277797098242,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9141",2,11,3,6,12,9,7,8,14,NA,NA,NA,NA,NA,NA,NA,NA,-72.0634558528013,0.705882352941177,0.745454545454545,0.740157480314961,12,82,28,5,-71.4184660659916,NA
"9142",3,8,12,2,6,11,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.5578107586628,0.6,0.723214285714286,0.708661417322835,9,81,31,6,-71.4184660659916,NA
"9143",2,11,3,6,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.5303425060581,0.6,0.738317757009346,0.716535433070866,12,79,28,8,-71.4184660659916,NA
"9144",3,12,7,9,6,2,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0865333795794,0.8,0.75,0.755905511811024,12,84,28,3,-71.4184660659916,NA
"9145",2,11,3,6,12,9,7,8,16,NA,NA,NA,NA,NA,NA,NA,NA,-73.775713378892,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9146",2,11,3,6,12,9,7,8,1,NA,NA,NA,NA,NA,NA,NA,NA,-72.551525762489,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9147",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3263891338292,0.625,0.72972972972973,0.716535433070866,10,81,30,6,-71.4184660659916,NA
"9148",9,12,6,2,11,8,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.0460937477701,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
"9149",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3929106801806,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9150",2,11,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.3713636478126,0.529411764705882,0.718181818181818,0.692913385826772,9,79,31,8,-71.4184660659916,NA
"9151",11,3,8,7,12,9,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.7993260335692,0.666666666666667,0.721739130434783,0.716535433070866,8,83,32,4,-71.4184660659916,NA
"9152",12,11,6,3,8,2,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.5569735022504,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9153",3,2,6,9,7,8,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2226517718801,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9154",12,8,6,3,11,2,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.2687855259576,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9155",2,11,3,6,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.4950096837231,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9156",2,11,3,6,12,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0425889310704,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9157",2,11,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.546851859876,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
"9158",2,11,3,6,12,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0452777804985,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9159",2,11,3,6,12,9,7,8,13,NA,NA,NA,NA,NA,NA,NA,NA,-74.4914788807035,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9160",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.2914273389192,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
"9161",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.27179908512,0.6,0.723214285714286,0.708661417322835,9,81,31,6,-71.4184660659916,NA
"9162",2,3,7,11,6,9,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.0957312632816,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9163",11,7,3,6,2,12,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.0143530788094,0.714285714285714,0.734513274336283,0.732283464566929,10,83,30,4,-71.4184660659916,NA
"9164",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.4387128648013,0.642857142857143,0.725663716814159,0.716535433070866,9,82,31,5,-71.4184660659916,NA
"9165",2,11,3,6,12,9,7,8,5,NA,NA,NA,NA,NA,NA,NA,NA,-73.2320929574527,0.6875,0.738738738738739,0.732283464566929,11,82,29,5,-71.4184660659916,NA
